medication_id,ema_product_code,product_name,form,authorization_holder
80,,Abacavir/Lamivudine Accord,Oral Use,Accord Healthcare B.V.
81,,Abacavir/Lamivudine Accord,Oral Use,Accord Healthcare B.V.
82,,Abacavir/Lamivudine Accord,Oral Use,Accord Healthcare B.V.
83,,Abacavir/Lamivudine Accord,Oral Use,Accord Healthcare Limited
84,,Abacavir/Lamivudine Amarox,Oral Use,Amarox Pharma Gmbh
85,,Abacavir/Lamivudine Amarox,Oral Use,Amarox Pharma B.V.
86,,Abacavir/Lamivudine Amarox,Oral Use,Amarox Limited
87,,Abacavir/Lamivudine Arrow,Oral Use,Arrow Generiques
88,,Abacavir/Lamivudine Auxilia,Oral Use,Auxilia Pharma
89,,Abacavir/Lamivudine Dr. Reddy's,Oral Use,Dr. Reddy's Laboratories (Uk) Ltd
90,,Abacavir/Lamivudine Eg,Oral Use,Eg Labo Laboratoires Eurogenerics
91,,Abacavir/Lamivudine Glenmark,Oral Use,Glenmark Arzneimittel Gmbh
92,,Abacavir/Lamivudine Glenmark,Oral Use,Glenmark Arzneimittel Gmbh
93,,Abacavir/Lamivudine Glenmark,Oral Use,Glenmark Arzneimittel Gmbh
94,,Abacavir/Lamivudine Lupin Healthcare (Uk),Oral Use,Lupin Healthcare (Uk) Limited
95,,Abacavir/Lamivudine Macleods,Oral Use,"Macleods Pharma España, S.L.U"
96,,Abacavir/Lamivudine Macleods,Oral Use,Macleods Pharma Uk Ltd
97,,Abacavir/Lamivudine Macleods Pharma Uk,Oral Use,Macleods Pharma Uk Ltd
98,,Abacavir/Lamivudine Medical Valley,Oral Use,Medical Valley Invest Ab
99,,Abacavir/Lamivudine Milpharm,Oral Use,Milpharm Limited
100,,Abacavir/Lamivudine Mylan,Oral Use,Mylan Pharmaceuticals Limited
101,,Abacavir/Lamivudine Mylan,Oral Use,Mcdermott Laboratories Ltd
102,,Abacavir/Lamivudine Mylan,Oral Use,Mylan Pharmaceuticals Limited
103,,Abacavir/Lamivudine Mylan,Oral Use,Mylan Pharmaceuticals Limited
104,,Abacavir/Lamivudine Mylan,Oral Use,Generics [uk] Limited
105,,Abacavir/Lamivudine Mylan Pharma,Oral Use,Generics [uk] Limited
106,,Abacavir/Lamivudine Sandoz,Oral Use,Sandoz Pharmaceuticals D.D.
107,,Abacavir/Lamivudine Sandoz,Oral Use,Sandoz
108,,Abacavir/Lamivudine Sandoz,Oral Use,Sandoz B.V.
109,,Abacavir/Lamivudine Sandoz,Oral Use,Sandoz A/S
110,,Abacavir/Lamivudine Stada,Oral Use,Stada Arzneimittel Ag
111,,Abacavir/Lamivudine Stada,Oral Use,Stada Arzneimittel Ag
112,,Abacavir/Lamivudine Stada,Oral Use,Stada M&d S.R.L.
113,,Abacavir/Lamivudine Stada,Oral Use,Stada Arzneimittel Ag
114,,Abacavir/Lamivudine Sun,Oral Use,Sun Pharmaceutical Industries Europe B.V.
115,,Abacavir/Lamivudine Teva,Oral Use,Teva B.V
116,,Abacavir/Lamivudine Teva,Oral Use,Teva Santé
117,,Abacavir/Lamivudine Teva,Oral Use,Teva Gyógyszergyár Zrt
118,,Abacavir/Lamivudine Unifarma,Oral Use,Unifarma
119,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Gx
120,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Limited
121,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Limited
122,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Sante
123,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Limited
124,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Limited
125,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Limited
126,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Gx
127,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Limited
128,,Abacavir/Lamivudine Viatris,Oral Use,Viatris Limited
129,,Abacavir/Lamivudine Viatris Generiques,Oral Use,Viatris Sante
130,,Abacavir/Lamivudine Zentiva,Oral Use,Zentiva France
131,,Abacavir/Lamivudine/Zidovudine Mylan,Oral Use,Mylan Pharmaceuticals Limited
132,,Abacavir/Lamivudine/Zidovudine Viatris,Oral Use,Viatris Sante
133,,Abacavir+lamivudine Accord,Oral Use,Accord Healthcare Polska Sp. Z O.O.
134,,Abacavir+lamivudine Mylan Pharma,Oral Use,Mylan Pharmaceuticals Limited
135,,Abagat,Oral Use,"Galenicum Health, S.L."
136,,Abagat,Oral Use,Polfarmex S.A.
137,,Abakavir/Lamivudin Mylan Pharma,Oral Use,Mylan Ab
138,,Abakavir/Lamivudin Viatris,Oral Use,Viatris Limited
139,,Abaktal,Oral Use,Lek Pharmaceuticals D.D. Ljubljana
140,,Abaktal,Oral Use,Sandoz Pharmaceuticals D.D.
141,,Abalon,Oral Use,Tad Pharma Gmbh
142,,Aban,Oral Use,Alpha-Medical D.O.O.
143,,Abasaglar,Subcutaneous Use,Eli Lilly Nederland B.V.
144,,Abasaglar,Subcutaneous Use,Eli Lilly Nederland B.V.
145,,Abasaglar,Subcutaneous Use,Eli Lilly Nederland B.V.
146,,Abasaglar Kwikpen,Subcutaneous Use,Eli Lilly Nederland B.V.
147,,Abasaglar Kwikpen,Subcutaneous Use,Eli Lilly Nederland B.V.
148,,Abasaglar Kwikpen,Subcutaneous Use,Eli Lilly Nederland B.V.
149,,Abasaglar Tempo Pen,Subcutaneous Use,Eli Lilly Nederland B.V.
150,,Abasaglar Tempo Pen,Subcutaneous Use,Eli Lilly Nederland B.V.
151,,Abasaglar Tempo Pen,Subcutaneous Use,Eli Lilly Nederland B.V.
152,,Abasaglar Tempo Pen,Subcutaneous Use,Eli Lilly Nederland B.V.
153,,Abatixent,Oral Use,Sandoz Gmbh
154,,Abatixent,Oral Use,Sandoz Pharmaceuticals D.D.
155,,Abatixent,Oral Use,Sandoz D.O.O.
156,,Abatixent,Oral Use,Sandoz Pharmaceuticals D.D.
157,,Abatixent,Oral Use,Sandoz Pharmaceuticals D.D.
158,,Abatixent,Oral Use,Sandoz Pharmaceuticals D.D.
159,,Abatixent,Oral Use,Sandoz B.V.
160,,Abatixent,Oral Use,Sandoz Gmbh
161,,Abatixent,Oral Use,Sandoz Pharmaceuticals S.R.L.
162,,Abatixent,Oral Use,Sandoz Pharmaceuticals D.D.
163,,Abator,Oral Use,Sapiens Pharmaceuticals Ltd
164,,Abattra,Transdermal Use,"Aristo Pharma Iberia, S.L."
165,,Abavalex,Oral Use,G.L. Pharma Gmbh
166,,Abavalex,Oral Use,G.L. Pharma Gmbh
167,,Abavalex,Oral Use,G.L. Pharma Gmbh
168,,Abavalex,Oral Use,G.L. Pharma Gmbh
169,,Abavalex,Oral Use,G.L. Pharma Gmbh
170,,Abavalex,Oral Use,G.L. Pharma Gmbh
171,,Abavalex,Oral Use,G.L. Pharma Gmbh
172,,Abavalex,Oral Use,G.L. Pharma Gmbh
173,,Abavalex,Oral Use,G.L. Pharma Gmbh
174,,Abavalex,Oral Use,G.L. Pharma Gmbh
175,,Abaxan,Oral Use,Mensana Pharma Ltd
176,,Abba,Oral Use,Fidia Farmaceutici S.P.A
177,,Abbonate,Oral Use,Abboxia Ab
178,,Abbonate,Oral Use,Abboxia Ab
179,,Abbonate,Oral Use,Abboxia Ab
180,,Abbonate,Oral Use,Abboxia Ab
181,,Abbonate,Oral Use,Abboxia Ab
182,,Abboticin,Intravenous Use,Amdipharm Limited
183,,Abboticin,Oral Use,Amdipharm Limited
184,,Abboticin,Oral Use,Amdipharm Limited
185,,Abboticin,Oral Use,Amdipharm Limited
186,,Abboticin,Intravenous Use,Amdipharm Limited
187,,Abboticin,Intravenous Use,Amdipharm Limited
188,,Abboticin,Intravenous Use,Amdipharm Limited
189,,Abboticin,Oral Use,Amdipharm Limited
190,,Abboticin Es,Oral Use,Amdipharm Limited
191,,Abboticin Novum,Oral Use,Amdipharm Limited
192,,Abboticin Novum,Oral Use,Amdipharm Limited
193,,Abboticin Novum,Oral Use,Amdipharm Limited
194,,Abc Lokale Schmerz-Therapie Aktiv-Pflaster,Cutaneous Use,Beiersdorf Ag
195,,Abc Lokale Schmerz-Therapie Wärme,Cutaneous Use,Beiersdorf Ag
196,,Abc Lokale Schmerz-Therapie Wärme,Cutaneous Use,Beiersdorf Ag
197,,Abc Lokale Schmerz-Therapie Wärme,Cutaneous Use,Beiersdorf Ag
198,,Abc Lokale Schmerz-Therapie Wärme-Pflaster,Cutaneous Use,Beiersdorf Ag
199,,Abc Lokale Schmerz-Therapie Wärme-Pflaster Mit Sensitiv-Vlies,Cutaneous Use,Beiersdorf Ag
200,,Abdine Cold Relief,Oral Use,Bell Sons & Co (Druggists) Ltd
201,,Abdine Hot Lemon Cold Relief,Oral Use,Bell Sons & Co (Druggists) Ltd
202,,Abdomilon N Für Erwachsene Und Heranwachsende Ab 12 Jahren,Oral Use,Cesra Arzneimittel Gmbh And Co. Kg
203,,Abdomin Citrus,Oral Use,Orifarm Healthcare A/S
204,,Abdomin Citrus,Oral Use,Orifarm Healthcare A/S
205,,Abdomin Junior Med Nøytral Smak,Oral Use,Orifarm Healthcare A/S
206,,Abdomin Junior Neutral,Oral Use,Orifarm Healthcare A/S
207,,Abdomin Junior Neutral,Oral Use,Orifarm Healthcare A/S
208,,Abdomin Med Nøytral Smak,Oral Use,Orifarm Healthcare A/S
209,,Abdomin Med Sitrussmak,Oral Use,Orifarm Healthcare A/S
210,,Abdomin Neutral,Oral Use,Orifarm Healthcare A/S
211,,Abdomin Neutral,Oral Use,Orifarm Healthcare A/S
212,,Abe,Cutaneous Use,Grupa Inco S.A.
213,,Abeced,Oral Use,Adamed Pharma S.A.
214,,Abecma,Intravenous Use,Bristol-Myers Squibb Pharma Eeig
215,,Abecma,Intravenous Use,Bristol-Myers Squibb Pharma Eeig
216,,Abecma,Intravenous Use,Bristol-Myers Squibb Pharma Eeig
217,,Abecma,Intravenous Use,Bristol-Myers Squibb Pharma Eeig
218,,Abecol,Oral Use,Evolan Pharma Ab
219,,Abedel,Oral Use,Adamed Pharma S.A.
220,,Abelcet,Intravenous Use,Acino France Sas
221,,Abelcet,Intravenous Use,Teva Gyógyszergyár Zrt
222,,Abelcet,Intravenous Use,Teva Pharmaceuticals Polska Sp. Z O.O.
223,,Abelcet,Intravenous Use,Teva Pharma – Produtos Farmacêuticos Lda
224,,Abelcet Complejo Lipídico,Intravenous Use,"Teva Pharma S.L.U.,"
225,,Abelcet Lipid Complex,Intravenous Use,"Teva Pharmaceuticals Cr, S.R.O."
226,,Abelcet Lipid Complex,Intravenous Use,Teva Pharma Belgium N.V./S.A
227,,Abelcet Lipid Complex,Intravenous Use,Teva Pharmaceuticals Slovakia S.R.O
228,,Abelfiz,Oral Use,Pharmazac Sa
229,,Abella,Oral Use,Ardez Pharma
230,,Abemax,Oral Use,"Meiji Pharma Spain, S.A."
231,,Abemot,Oral,Abela Pharm D.O.O.
232,,Abemot 1 Mg,Oral,Abela Pharm D.O.O.
233,,Abendur,Oral Use,Ascot Laboratories (Ireland) Limited
234,,Aberipra,Oral Use,Ecupharma S.R.L.
235,,Abernil,Oral Use,Medochemie Ltd.
236,,Abesart,Oral Use,Genetic Spa
237,,Abesyl,Oral Use,Medochemie Hellas Sa
238,,Abevmy,Intravenous Use,Biosimilar Collaborations Ireland Limited
239,,Abevmy,Intravenous Use,Biosimilar Collaborations Ireland Limited
240,,Abevmy,Intravenous Use,Biosimilar Collaborations Ireland Limited
241,,Abevmy,Intravenous Use,Biosimilar Collaborations Ireland Limited
242,,Abfentiq,Oral Use,"Ferrer Internacional, S.A."
243,,Abführ Sn,Oral Use,Aenova Ip Gmbh
244,,Abführ Tee,Oral Use,Bad Heilbrunner Naturheilmittel Gmbh & Co. Kg
245,,Abführ-Kapseln Rizinol,Oral Use,Queisser Pharma Gmbh & Co.Kg
246,,Abführpulver,Oral Use,Retterspitz Gmbh & Co. Kg
247,,Abführtee,Oral Use,Bombastus-Werke Ag
248,,Abführtee N,Oral Use,H & S Tee-Gesellschaft Mbh & Co. Kg
249,,Abführtee-Sennesblätter N,Oral Use,Uriach Germany Gmbh
250,,Abiano,Oral Use,Aspire Pharma Limited
251,,Abibam®,Oral Use,Dr. Pfleger Arzneimittel Gmbh
252,,Abicrem,Cutaneous Use,Galenicum Derma S.L.
253,,Abidalo,Oral Use,"Krka, D.D., Novo Mesto"
254,,Abidalo,Oral Use,Tad Pharma Gmbh
255,,Abidalo,Oral Use,123 Acurae Pharma Gmbh
256,,Abidalo,Oral Use,Tad Pharma Gmbh
257,,Abidec Multivitamin,Oral Use,Chefaro Ireland Designated Activity Company
258,,Abidec Multivitamin,Oral Use,Omega Pharma Ltd
259,,Abidol,Oral Use,Aurora Licensing S.R.L.
260,,Abietinsäure,Cutaneous Use,Smartpractice Europe Gmbh
261,,Abigerd,Oral Use,Aurora Biofarma S.R.L
262,,Abigerd,Oral Use,Aurora Biofarma S.R.L
263,,Abik,Oral Use,"Kern Pharma, S.L."
264,,Abilify,Intramuscular Use,Otsuka Pharmaceutical Netherlands B.V.
265,,Abilify,Intramuscular Use,Otsuka Pharmaceutical Netherlands B.V.
266,,Abilify,Intramuscular Use,Otsuka Pharmaceutical Netherlands B.V.
267,,Abilify,Intramuscular Use,Otsuka Pharmaceutical Netherlands B.V.
268,,Abilify,Oral Use,Otsuka Pharmaceutical Netherlands B.V.
269,,Abilify,Oral Use,Otsuka Pharmaceutical Netherlands B.V.
270,,Abilify,Oral Use,Otsuka Pharmaceutical Netherlands B.V.
271,,Abilify,Oral Use,Otsuka Pharmaceutical Netherlands B.V.
272,,Abilify Maintena,Intramuscular Use,Otsuka Pharmaceutical Netherlands B.V.
273,,Abilify Maintena,Intramuscular Use,Otsuka Pharmaceutical Netherlands B.V.
274,,Abilify Maintena,Intramuscular Use,Otsuka Pharmaceutical Netherlands B.V.
275,,Abilify Maintena,Intramuscular Use,Otsuka Pharmaceutical Netherlands B.V.
276,,Abilium,Oral Use,Pharma2pharma Sp. Z O.O.
277,,Abilium,Oral Use,Pharma2pharma Sp. Z O.O.
278,,Abimono,Cutaneous Use,Farmitalia S.R.L.
279,,Abimono,Vaginal Use,Farmitalia S.R.L.
280,,Abimox,Ocular Use,Tiedra Farmaceutica Sl
281,,Abinone,Oral Use,Innovis Pharma
282,,Abioclav,Oral Use,S.F. Group Srl
283,,Abiostil,Nasal Use,Laboratorio Chimico Deca Dr. Capuani S.R.L.
284,,Abiox,Oral Use,Tiedra Farmaceutica Sl
285,,Abipol,Oral Use,Abartis Pharma S.L.
286,,Abiprost,Ocular Use,Tiedra Farmaceutica Sl
287,,Abiprostem,Oral Use,Demo Abee
288,,Abiral,Oral Use,Genericon Pharma Gesellschaft M.B.H.
289,,Abiral,Oral Use,+pharma Arzneimittel Gmbh
290,,Abiranio,Oral Use,Axunio Pharma Gmbh
291,,Abirasolon-Mcrpc Kombipackung,Oral Use,Aristo Pharma Gmbh (Art 57)
292,,Abirasolon-Mhspc Kombipackung,Oral Use,Aristo Pharma Gmbh (Art 57)
293,,Abiratel,Oral Use,Tad Pharma Gmbh
294,,"Abirateron ""olpha""",Oral Use,Olpha As
295,,"Abirateron ""sandoz""",Oral Use,1a Farma A/S
296,,Abirateron +pharma,Oral Use,+pharma Arzneimittel Gmbh
297,,Abirateron 123-Acurae Pharma,Oral Use,123 Acurae Pharma Gmbh
298,,Abirateron 1a Pharma,Oral Use,1a Pharma Gmbh
299,,Abirateron 1a Pharma,Oral Use,1 A Pharma Gmbh
300,,Abirateron Abdi,Oral Use,Abdi Farma Gmbh
301,,Abirateron Abdi,Oral Use,Abdi Farma Gmbh
302,,Abirateron Acino,Oral Use,Acino Ag
303,,Abirateron Al,Oral Use,Aliud Pharma Gmbh
304,,Abirateron Alpha-Medical,Oral Use,Alpha-Medical D.O.O.
305,,Abirateron Amarox,Oral Use,Amarox Pharma Gmbh
306,,Abirateron Aristo,Oral Use,Aristo Pharma Gmbh (Art 57)
307,,Abirateron Aristo,Oral Use,Aristo Pharma Gmbh (Art 57)
308,,Abirateron Ashcure,Oral Use,Ashcure Pharma B.V.
309,,Abirateron Ashcure,Oral Use,Ashcure Pharma B.V.
310,,Abirateron Avansor,Oral Use,Avansor Pharma Oy
311,,Abirateron Axiromed,Oral Use,Medical Valley Invest Ab
312,,Abirateron Beta,Oral Use,Betapharm Arzneimittel Gmbh
313,,Abirateron Betapharm,Oral Use,Betapharm Arzneimittel Gmbh
314,,Abirateron Bluepharma,Oral Use,Bluepharma Indústria Farmacêutica S.A.
315,,Abirateron Cf,Oral Use,Centrafarm B.V.
316,,Abirateron Cipla,Oral Use,Cipla Europe Nv
317,,Abirateron Devatis,Oral Use,Devatis Gmbh
318,,Abirateron Devatis,Oral Use,Devatis Gmbh
319,,Abirateron Devatis,Oral Use,Devatis Gmbh
320,,Abirateron Devatis,Oral Use,Devatis Gmbh
321,,Abirateron Devatis,Oral Use,Devatis Gmbh
322,,Abirateron Devatis,Oral Use,Devatis Gmbh
323,,Abirateron Devatis,Oral Use,Devatis Gmbh
324,,Abirateron Devatis,Oral Use,Devatis Gmbh
325,,Abirateron Eg,Oral Use,Eurogenerics N.V./S.A.
326,,Abirateron Eg,Oral Use,Eurogenerics N.V./S.A.
327,,Abirateron G.L.,Oral Use,G.L. Pharma Gmbh
328,,Abirateron Galenika,Oral Use,Galenika International Kft.
329,,Abirateron Galenika,Oral Use,Galenika International Kft.
330,,Abirateron Glenmark,Oral Use,Glenmark Arzneimittel Gmbh
331,,Abirateron Glenmark,Oral Use,Glenmark Arzneimittel Gmbh
332,,Abirateron Heumann,Oral Use,Heumann Pharma Gmbh & Co. Generica Kg
333,,Abirateron Hexal,Oral Use,Hexal Ag
334,,Abirateron Holsten,Oral Use,Holsten Pharma Gmbh
335,,Abirateron Leon Farma,Oral Use,"Laboratorios León Farma, S.A."
336,,Abirateron Medac,Oral Use,Medac Gesellschaft Für Klinische Spezialpräparate Mbh (Wedel)
337,,Abirateron Medical Valley,Oral Use,Medical Valley Invest Ab
338,,Abirateron Medical Valley,Oral Use,Medical Valley Invest Ab
339,,Abirateron Medical Valley,Oral Use,Medical Valley Invest Ab
340,,Abirateron Medical Valley,Oral Use,Medical Valley Invest Ab
341,,Abirateron Medical Valley,Oral Use,Medical Valley Invest Ab
342,,Abirateron Msn,Oral Use,Msn Labs Europe Limited
343,,Abirateron Msn,Oral Use,Vivanta Generics S.R.O
344,,Abirateron Msn,Oral Use,Msn Labs Europe Limited
345,,Abirateron Normon,Oral Use,"Laboratorios Normon, S.A."
346,,Abirateron Pharmagen,Oral Use,Pharmagen Cz S.R.O.
347,,Abirateron Pharmagen,Oral Use,Pharmagen Cz S.R.O.
348,,Abirateron Pharmascience,Oral Use,Pharmascience International Ltd
349,,Abirateron Pharmascience,Oral Use,Pharmascience International Ltd
350,,Abirateron Polisano,Oral Use,Vitema S.A.
351,,Abirateron Qilu,Oral Use,Qilu Pharma Spain S.L.
352,,Abirateron Ratiopharm,Oral Use,Ratiopharm Gmbh
353,,Abirateron Sandoz,Oral Use,Sandoz Gmbh
354,,Abirateron Sandoz,Oral Use,Sandoz D.O.O.
355,,Abirateron Sandoz,Oral Use,1a Farma A/S
356,,Abirateron Sandoz,Oral Use,Sandoz B.V.
357,,Abirateron Sandoz,Oral Use,1a Farma A/S
358,,Abirateron Sandoz,Oral Use,1a Farma A/S
359,,Abiraterón Sandoz,Oral Use,Sandoz Pharmaceuticals D.D.
360,,Abirateron Stada,Oral Use,Stada Arzneimittel Gmbh
361,,Abirateron Stada,Oral Use,Stada D.O.O.
362,,Abirateron Stada,Oral Use,Stada Arzneimittel Ag
363,,Abirateron Stada,Oral Use,Stadapharm Gmbh
364,,Abirateron Stada,Oral Use,Stada Arzneimittel Ag
365,,Abirateron Stada,Oral Use,Stada Arzneimittel Ag
366,,Abiraterón Stada,Oral Use,Stada Arzneimittel Ag
367,,Abirateron Sun,Oral,Sun Pharmaceutical Industries Europe B.V.
368,,Abirateron Sun,Oral Use,Sun Pharmaceuticals Germany Gmbh
369,,Abirateron Synthon,Oral Use,Synthon Bv
370,,Abirateron Teva,Oral Use,Teva B.V
371,,Abirateron Teva,Oral Use,Teva B.V
372,,Abirateron Teva,Oral Use,Teva B.V
373,,Abirateron Teva,Oral Use,Teva B.V
374,,Abirateron Teva,Oral Use,Teva B.V
375,,Abirateron Teva,Oral Use,Teva B.V
376,,Abirateron Teva,Oral Use,Teva B.V
377,,Abirateron Teva,Oral Use,Teva B.V
378,,Abirateron Teva,Oral Use,Teva B.V
379,,Abirateron Uropharm,Oral Use,Abanta Pharma Gmbh
380,,Abirateron Vipharm,Oral Use,Vipharm S.A.
381,,Abirateron Vivanta,Oral Use,Vivanta Generics S.R.O
382,,Abirateron Vivanta,Oral Use,Vivanta Generics S.R.O
383,,Abirateron Xiromed,Oral Use,Medical Valley Invest Ab
384,,Abirateron Zentiva,Oral Use,"Zentiva, K.S."
385,,Abirateron Zentiva,Oral Use,"Zentiva, K.S."
386,,Abirateron Zentiva,Oral Use,Zentiva Pharma Gmbh
387,,Abirateron Zentiva,Oral Use,"Zentiva, K.S."
388,,Abirateron Zentiva,Oral Use,"Zentiva, K.S."
389,,Abirateron Zentiva,Oral Use,"Zentiva, K.S."
390,,Abirateron? Lannacher,Oral Use,"Lannacher Heilmittel Ges.M.B.H.,"
391,,Abiraterona Bluepharma,Oral Use,"Bluepharma Genéricos - Comércio De Medicamentos, S.A."
392,,Abiraterona Bluepharma,Oral Use,Bluepharma Indústria Farmacêutica S.A.
393,,Abiraterona Cipla,Oral Use,Cipla Europe Nv
394,,Abiraterona Dr. Reddys,Oral Use,"Reddy Pharma Iberia, S.A."
395,,Abiraterona Efg Synthon,Oral Use,Synthon Bv
396,,Abiraterona Eugia,Oral Use,Eugia Pharma (Malta) Limited
