substance_id	substance_name	allergic_patient_count	medication_count
3205	Colistimethate Sodium	0	117
411	Methylphenidate Hydrochloride	0	116
5343	Enzalutamide	0	116
104	Ambroxol Hydrochloride	0	115
1349	Dorzolamide Hydrochloride, Timolol Maleate	0	115
2581	Bupivacaine Hydrochloride	0	113
301	Budesonide	0	112
481	Lacosamide	0	112
2249	Vancomycin Hydrochloride	0	112
1654	Zopiclone	0	111
482	Sugammadex	0	110
646	Verapamil Hydrochloride	0	105
45	Sildenafil	0	104
772	Diclofenac Diethylamine	0	103
6631	Insulin Lispro	0	103
735	Eplerenone	0	102
23	Atorvastatin	0	100
6639	Insulin Human (Rdna)	0	100
2428	Epirubicin Hydrochloride	0	99
210	Esomeprazole	0	98
924	Levonorgestrel	0	98
3573	Estradiol	0	98
1455	Testosterone Undecanoate	0	97
2583	Clarithromycin	0	97
132	Azelastine Hydrochloride	0	96
461	Dexketoprofen	0	96
499	Beclometasone Dipropionate, Formoterol Fumarate Dihydrate	0	96
633	Budesonide, Formoterol Fumarate Dihydrate	0	95
652	Ethinylestradiol, Gestodene	0	95
2500	Human Normal Immunoglobulin	0	95
341	Carbocisteine	0	94
22	Apixaban	0	93
144	Levothyroxine Sodium	0	93
544	Dexamethasone Phosphate	0	93
2192	Heparin Sodium	0	93
764	Cytarabine	0	92
2398	Metoprolol Tartrate	0	91
5744	Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate, Glucose Monohydrate, Sodium-L-Lactate	0	91
969	Alprostadil	0	90
476	Doxorubicin Hydrochloride	0	89
721	Atropine Sulfate	0	89
1806	Teriflunomide	0	89
63	Metformin Hydrochloride	0	88
4774	Hydromorphone Hydrochloride	0	88
102	Ibandronic Acid	0	87
683	Sodium Cromoglicate	0	87
4666	Dorzolamide Hydrochloride	0	87
180	Glatiramer Acetate	0	86
808	Duloxetine	0	86
5789	Flucloxacillin	0	86
253	Pantoprazole	0	85
376	Loperamide Hydrochloride	0	85
380	Solifenacin Succinate	0	85
470	Epinephrine	0	85
55	Amlodipine	0	84
567	Fulvestrant	0	84
486	Glycerol	0	83
2898	Tobramycin	0	83
3308	Sevelamer Carbonate	0	83
4261	Moxonidine	0	83
425	Ethinylestradiol, Levonorgestrel	0	82
2620	Mepivacaine Hydrochloride	0	82
8088	Mitomycin	0	82
417	Hyoscine Butylbromide	0	81
5181	Ephedrine Hydrochloride	0	80
107	Sodium Valproate	0	79
194	Aciclovir	0	79
195	Folic Acid	0	79
204	Ascorbic Acid	0	79
1462	Articaine Hydrochloride, Epinephrine	0	79
206	Tranexamic Acid	0	78
4201	Daptomycin	0	78
4297	Oxaliplatin	0	78
400	Tamsulosin Hydrochloride	0	77
538	Metamizole Sodium Monohydrate	0	77
839	Melphalan	0	77
3428	Vancomycin	0	77
8471	Nicotine Polacrilex	0	77
5153	Econazole Nitrate	0	76
429	Glyceryl Trinitrate	0	75
477	Anagrelide	0	75
2726	Ceftriaxone Sodium	0	74
2728	Ceftazidime Pentahydrate	0	74
7417	Methylprednisolone	0	74
97	Brimonidine Tartrate	0	73
335	Morphine Sulfate	0	73
1514	Desmopressin Acetate	0	73
1987	Dorzolamide, Timolol	0	73
2425	Fluorouracil	0	73
606	Lansoprazole	0	72
694	Amylmetacresol, 2,4 Dichlorobenzyl Alcohol	0	72
695	Bromhexine Hydrochloride	0	72
139	Colecalciferol, Calcium	0	71
167	Ciprofloxacin	0	71
286	Lidocaine Hydrochloride Monohydrate	0	71
469	Risperidone	0	71
501	Fluticasone Propionate, Salmeterol	0	71
540	Metoclopramide Hydrochloride	0	71
6778	Iomeprol	0	71
20	Rivaroxaban	0	70
264	Azelastine Hydrochloride, Fluticasone Propionate	0	70
582	Ticagrelor	0	70
666	Glycopyrronium Bromide	0	70
1998	Zolmitriptan	0	70
7847	Valine, Alanine, Arginine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonine, Aspartic Acid, Glutamic Acid, Glycine, Histidine Hydrochloride Monohydrate, Omega-3-Acid Triglycerides, Sodium Dihydrogen Phosphate Dihydrate, Soya-Bean	0	70
9954	Treprostinil	0	70
9	Estriol	0	69
57	Fentanyl Citrate	0	69
2780	Pirfenidone	0	69
3247	Caspofungin	0	69
3580	Levetiracetam	0	69
4346	Pomalidomide	0	69
133	Oxymetazoline Hydrochloride	0	68
369	Ketorolac Trometamol	0	68
418	Ampicillin	0	68
830	Sodium Hydrogen Carbonate	0	68
1983	Propafenone Hydrochloride	0	68
3410	Fenofibrate	0	68
4119	Lenalidomide	0	68
8325	Vinorelbine	0	68
8693	Octreotide	0	68
645	Quetiapine	0	67
1435	Cefuroxime Sodium	0	67
2250	Sulfamethoxazole, Trimethoprim	0	67
7911	Menotrophin	0	67
581	Levofloxacin	0	66
1291	Amikacin	0	66
1534	Cefotaxime	0	66
611	Minoxidil	0	65
1631	Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate	0	65
2110	Ofloxacin	0	65
4192	Progesterone, Micronised	0	65
485	Donepezil Hydrochloride	0	64
714	Clonidine Hydrochloride	0	64
1601	Folinic Acid	0	64
2006	Nicotine Resinate	0	64
4766	Methadone Hydrochloride	0	64
331	Lidocaine	0	63
3303	Carboplatin	0	63
61	Magnesium Sulfate Heptahydrate	0	62
109	Ezetimibe	0	62
175	Piracetam	0	62
445	Lisdexamfetamine Dimesylate	0	62
503	Beclometasone Dipropionate	0	62
754	Levocetirizine Dihydrochloride	0	62
1536	Gentamicin	0	62
1980	Triptorelin	0	62
2501	C1 Esterase Inhibitor (Human)	0	62
4513	Zonisamide	0	62
5206	Ustekinumab	0	62
433	Metformin Hydrochloride, Sitagliptin	0	61
651	Lorazepam	0	61
716	Alfuzosin Hydrochloride	0	61
2818	Clostridium Botulinum Neurotoxin Type A (150kd), Free Of Complexing Proteins	0	61
467	Tacrolimus	0	60
490	Temozolomide	0	60
508	Salbutamol	0	60
771	Hydrocortisone Butyrate	0	60
2015	Formoterol Fumarate Dihydrate	0	60
2696	Cefazolin Sodium	0	60
130	Phenylephrine Hydrochloride	0	59
208	Zoledronic Acid Monohydrate	0	59
439	Lactose.	0	59
444	Anastrozole	0	59
770	Nitrous Oxide	0	59
3820	Iopamidol	0	59
4032	Morphine Hydrochloride Trihydrate	0	59
5190	Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated	0	59
145	Metronidazole	0	58
398	Finasteride	0	58
798	Paracetamol, Codeine Phosphate Hemihydrate	0	58
1533	Cefotaxime Sodium	0	58
1766	Nitrofurantoin	0	58
155	Adapalene, Benzoyl Peroxide	0	57
207	Zoledronic Acid	0	57
704	Human Serum Albumin	0	56
2208	Cefazolin	0	56
1255	Lamotrigine	0	55
2921	Piroxicam	0	55
3828	Clindamycin Phosphate	0	55
3925	Naloxone Hydrochloride	0	55
5189	B/Phuket/3073/2013-Like Virus (B/Phuket/3073/2013, Wild Type), Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated	0	55
6282	Posaconazole	0	55
593	Lactose Monohydrate	0	54
649	Latanoprost	0	54
1566	Phenylephrine Hydrochloride, Paracetamol	0	54
2447	Benzylpenicillin Sodium	0	54
2603	Imatinib	0	54
3701	Cyclophosphamide	0	54
4520	Urapidil	0	54
1454	Testosterone	0	53
2432	Fludarabine Phosphate	0	53
3329	Copper Tetramibi Tetrafluoroborate	0	53
353	Colecalciferol, Calcium Carbonate	0	52
1833	Venlafaxine Hydrochloride	0	52
2371	Nimodipine	0	52
2579	Bisoprolol Fumarate	0	52
2891	Linagliptin	0	52
3058	Buprenorphine Hydrochloride	0	52
386	Sitagliptin	0	51
726	Simvastatin	0	51
1671	Thiamine Hydrochloride	0	51
1807	Fingolimod	0	51
3812	Gliclazide	0	51
3955	Colchicine	0	51
4186	Triamcinolone Acetonide	0	51
53	Naltrexone Hydrochloride	0	50
76	Prednisolone	0	50
121	Travoprost	0	50
255	Rabeprazole Sodium	0	50
410	Potassium Chloride	0	50
619	Desogestrel	0	50
672	Fluticasone Propionate	0	50
791	Paracetamol, Caffeine	0	50
1253	Azithromycin	0	50
2719	Cefuroxime Axetil	0	50
3705	Gentamicin Sulfate	0	50
5341	Hepatitis B Surface Antigen (Rdna), Algeldrate	0	50
5549	Epinephrine, Lidocaine Hydrochloride	0	50
8712	Oxytocin	0	50
389	Ethinylestradiol, Etonogestrel	0	49
509	Salbutamol Sulfate	0	49
558	Alprazolam	0	49
736	Paliperidone	0	49
1509	Cyanocobalamin	0	49
3702	Cyclophosphamide Monohydrate	0	49
140	Iohexol	0	48
743	Timolol, Travoprost	0	48
990	Urofollitropin	0	48
2182	Dimenhydrinate	0	48
2769	Nebivolol	0	48
310	Montelukast	0	47
397	Ropinirole	0	47
436	Nystatin	0	47
541	Metoclopramide Hydrochloride Monohydrate	0	47
778	Betahistine Dihydrochloride	0	47
2473	Dexpanthenol	0	47
2939	Dapagliflozin	0	47
3762	Cisplatin	0	47
5718	Insulin Aspart	0	47
278	Chlorhexidine Gluconate	0	46
546	Sertraline	0	46
1356	Carbamazepine	0	46
2246	Chlorhexidine Gluconate, Isopropyl Alcohol	0	46
5711	Follicle-Stimulating Hormone, Luteinising Hormone	0	46
7940	Mesna	0	46
26	Abiraterone Acetate	0	45
1306	Pyridostigmine Bromide	0	45
1522	Linezolid	0	45
1842	Paricalcitol	0	45
1978	Timolol Maleate	0	45
2101	Azathioprine	0	45
2321	Fludeoxyglucose (18f)	0	45
2893	Buprenorphine, Naloxone	0	45
5299	Ethosuximide	0	45
11141	Trabectedin	0	45
74	Bimatoprost	0	44
138	Filgrastim	0	44
187	Cetirizine Dihydrochloride	0	44
354	Calcium Carbonate	0	44
954	Cefepime	0	44
1420	Clomipramine Hydrochloride	0	44
1498	Isosorbide Mononitrate	0	44
1808	Edoxaban	0	44
4040	Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Sodium Lactate	0	44
4654	Digoxin	0	44
5283	Eltrombopag	0	44
751	Fexofenadine Hydrochloride	0	43
856	Phleum Pratense (225)	0	43
2532	Povidone, Iodinated	0	43
4729	Sufentanil Citrate	0	43
5914	Tick-Borne Encephalitis Virus (Inactivated), Neudoerfl Strain	0	43
8114	Morphine Hydrochloride	0	43
134	Dextromethorphan Hydrobromide	0	42
419	Desogestrel, Ethinylestradiol	0	42
568	Atomoxetine	0	42
624	Lactose Anhydrous	0	42
1446	Losartan Potassium, Hydrochlorothiazide	0	42
1626	Montelukast Sodium	0	42
3314	Ferric Carboxymaltose	0	42
4815	Remifentanil	0	42
6664	Topotecan	0	42
178	Eslicarbazepine Acetate	0	41
441	Tamoxifen	0	41
945	Palonosetron	0	41
1621	Peppermint Oil	0	41
1660	Sumatriptan	0	41
3558	Dinoprostone	0	41
3883	Human Fibrinogen	0	41
8138	Tetrabenazine	0	41
350	Etofenamate	0	40
805	Tramadol Hydrochloride, Paracetamol	0	40
1314	Levocarnitine	0	40
1347	Amiodarone Hydrochloride	0	40
1380	Amorolfine Hydrochloride	0	40
2426	Gemcitabine	0	40
3455	Sodium Selenite Pentahydrate	0	40
5741	Phytomenadione	0	40
6043	Gefitinib	0	40
6215	Terlipressin Acetate	0	40
11295	Iopromide	0	40
29	Erythromycin	0	39
135	Pseudoephedrine Hydrochloride, Ibuprofen	0	39
271	Isotretinoin	0	39
458	Ibuprofen, Paracetamol	0	39
858	Phenylephrine Hydrochloride, Guaifenesin, Paracetamol	0	39
974	Riluzole	0	39
1266	Glimepiride	0	39
1432	Lidocaine, Prilocaine	0	39
4464	Medroxyprogesterone Acetate	0	39
4818	Midazolam Hydrochloride	0	39
10004	Zidovudine	0	39
446	Diltiazem Hydrochloride	0	38
578	Meropenem Anhydrous	0	38
957	Human Coagulation Factor Viii, Human Von Willebrand Factor	0	38
1146	Venlafaxine	0	38
2106	Betamethasone	0	38
2292	Ivermectin	0	38
2717	Fluid Extract From Ivy Leaves (1:1), Extracting Agent: Ethanol 70% (V/V), Liquid Extract From Thyme Herb (Der 1:2-2,5), Extraction Solvents: Ammonia Solution 10 % (M/M), Glycerol 85%, Ethanol 90%, Water (1:20:70:109)	0	38
71	Moxifloxacin	0	37
118	Paclitaxel	0	37
373	Nefopam Hydrochloride	0	37
594	Meloxicam	0	37
746	Carbidopa, Levodopa	0	37
2092	Atropine Sulfate Monohydrate	0	37
2312	Glucagon	0	37
2890	Botulinum Toxin Type A	0	37
4465	Leuprorelin Acetate	0	37
50	Prucalopride	0	36
177	Cyproterone Acetate	0	36
327	Guaifenesin	0	36
438	Dienogest, Ethinylestradiol	0	36
492	Eribulin Mesylate	0	36
1915	Exemestane	0	36
1920	Sapropterin Dihydrochloride	0	36
2708	Magnesium	0	36
3327	Isosorbide Dinitrate	0	36
3502	Ondansetron Hydrochloride Dihydrate	0	36
5915	Algeldrate, Tick-Borne Encephalitis Virus (Inactivated), Neudoerfl Strain	0	36
7870	Methoxsalen	0	36
106	Epoetin Alfa	0	35
760	Alfacalcidol	0	35
1628	Sodium Chloride, Glucose Monohydrate	0	35
2202	Azacitidine	0	35
2247	Bosentan	0	35
2316	Barium Sulfate	0	35
2509	Methotrexate Disodium	0	35
2838	Teriparatide	0	35
3481	Ceftriaxone Disodium Salt Hemiheptahydrate	0	35
4120	Fludrocortisone Acetate	0	35
4568	Human Anti-D Immunoglobulin	0	35
5857	Naratriptan	0	35
124	Risedronate Sodium	0	34
150	Aceclofenac	0	34
801	Drotaverine Hydrochloride	0	34
802	Goserelin	0	34
1268	Ambrisentan	0	34
3043	Calcium Folinate	0	34
4563	Glucose Monohydrate	0	34
5095	Nebivolol Hydrochloride	0	34
16	Dabigatran Etexilate	0	33
123	Ramipril	0	33
226	Magnesium Carbonate Heavy, Calcium Carbonate	0	33
705	Olmesartan Medoxomil, Amlodipine	0	33
758	Dimetindene Maleate	0	33
803	Metamizole Sodium	0	33
1986	Dorzolamide	0	33
2130	Felodipine	0	33
2240	Baclofen	0	33
3006	Dry Extract Of Hederae Folium (Der 4-8:1), Extracting Agent: Ethanol 30 % (M/M)	0	33
3290	Carbetocin	0	33
3539	Trospium Chloride	0	33
5288	Vardenafil	0	33
5451	Ertapenem	0	33
5799	Flucloxacillin Sodium	0	33
9916	Remifentanil Hydrochloride	0	33
11740	Iobitridol	0	33
347	Norethisterone Acetate, Estradiol	0	32
468	Zolpidem Tartrate	0	32
622	Rasagiline	0	32
932	Pethidine Hydrochloride	0	32
940	Haloperidol	0	32
2375	Biotin	0	32
3083	Liraglutide	0	32
4488	Estradiol Hemihydrate	0	32
5082	Sufentanil	0	32
5899	Nadroparin Calcium	0	32
8694	Octreotide Acetate	0	32
9311	Calcium, Magnesium, Potassium, Sodium, Chloride Ion, Hydrogen Phosphate, Hydrogen Carbonate	0	32
9657	Calcium, Glucose, Lactic Acid, Magnesium, Potassium, Sodium, Chloride Ion, Hydrogen Carbonate	0	32
10952	Thiotepa	0	32
260	Phenoxymethylpenicillin	0	31
647	Biperiden Hydrochloride	0	31
660	Clindamycin Hydrochloride	0	31
862	Diphenhydramine Hydrochloride	0	31
1152	Iron	0	31
1843	Paliperidone Palmitate	0	31
2054	Atenolol	0	31
2120	Phenytoin Sodium	0	31
2211	Trazodone Hydrochloride	0	31
2245	Ebastine	0	31
2407	Bupivacaine Hydrochloride Monohydrate	0	31
2475	Tamsulosin Hydrochloride, Solifenacin Succinate	0	31
2503	Human Coagulation Factor Ix, Protein C, Human Coagulation Factor Vii, Protein S, Human Coagulation Factor Ii, Human Coagulation Factor X	0	31
2915	Ipratropium Bromide, Salbutamol	0	31
3471	Cefepime Dihydrochloride Monohydrate	0	31
4251	Lymecycline	0	31
5710	Luteinising Hormone (Human), Follicle-Stimulating Hormone	0	31
5885	Human Hepatitis B Immunoglobulin	0	31
9646	Gadoxetic Acid, Disodium	0	31
127	Carvedilol	0	30
218	Fusidic Acid	0	30
236	Salicylic Acid	0	30
352	Hydrocortisone Sodium Phosphate	0	30
377	Denosumab	0	30
442	Tamoxifen Citrate	0	30
537	Paroxetine	0	30
938	Promethazine Hydrochloride	0	30
959	B/Phuket/3073/2013-Like Virus (B/Phuket/3073/2013, Wild Type), Influenza Virus B/Austria/1359417/2021-Like Strain (B/Austria/1359417/2021, Bvr-26), Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2	0	30
1399	Hydrochlorothiazide, Ramipril	0	30
1416	Cloxacillin	0	30
1472	Chlorhexidine Dihydrochloride, Lidocaine Hydrochloride	0	30
1768	Leflunomide	0	30
2170	Algeldrate, Inactivated Hepatitis A Virus (Gbm Strain)	0	30
2189	Bupropion Hydrochloride	0	30
4223	Timolol	0	30
4579	Ferric Derisomaltose	0	30
5008	Drospirenone	0	30
6582	Ifosfamide	0	30
6900	Tinzaparin Sodium	0	30
7876	Meldonium Dihydrate	0	30
8265	Ropivacaine Hydrochloride Monohydrate	0	30
10748	Olodaterol	0	30
287	Topiramate	0	29
366	Nitrous Oxide, Oxygen	0	29
953	Articaine Hydrochloride, Epinephrine Hydrochloride	0	29
958	Influenza Virus B/Austria/1359417/2021-Like Strain (B/Austria/1359417/2021, Bvr-26), Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Influenza A Virus, A/Croatia/10136rv/2023 (H3n2) Like Strain X-425a, Inactivated	0	29
1289	Bupivacaine Hydrochloride, Anhydrous	0	29
1479	Chlorhexidine Dihydrochloride, Lidocaine Hydrochloride Monohydrate	0	29
1579	Phenylephrine Hydrochloride, Paracetamol, Caffeine	0	29
1738	Oxcarbazepine	0	29
2348	Mycobacterium Bovis, Danish Strain 1331	0	29
2476	Tetryzoline Hydrochloride	0	29
2541	Metoprolol Succinate	0	29
2732	Magnesium, Sodium Ion, Chloride Ion, Hydrogen Phosphate, Hydrogen Carbonate, Potassium Ion	0	29
2848	Aluminium Phosphate, Diphtheria Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Tetanus Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Aluminium Phosphate, Pertussis Toxoid Adsorbed On Aluminium Hydroxide, Hydrated And Alum	0	29
4222	Poractant Alfa	0	29
4618	Hydrochlorothiazide	0	29
5047	Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Glucose Monohydrate	0	29
5194	Sunitinib	0	29
5887	Dalteparin Sodium	0	29
11616	Iodixanol	0	29
69	Esomeprazole Magnesium Dihydrate	0	28
432	Dexamfetamine Sulfate	0	28
914	Flecainide Acetate	0	28
1468	Flumazenil	0	28
1971	Aprotinin, Human Fibrinogen, Calcium Chloride Dihydrate, Human Thrombin	0	28
2582	Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate, Glucose Monohydrate	0	28
3132	Cinacalcet	0	28
3990	Hydrocortisone Acetate	0	28
5649	Pheniramine Maleate, Ascorbic Acid, Paracetamol	0	28
7488	Anhydrous Lidocaine Hydrochloride	0	28
8838	Ioversol	0	28
9746	Varicella Virus Oka/Merck Strain, (Live, Attenuated) Produced In Human Diploid (Mrc-5) Cells	0	28
219	Gadoteric Acid	0	27
265	Pregabalin	0	27
326	Pseudoephedrine Hydrochloride, Paracetamol	0	27
728	Rosuvastatin	0	27
909	Botulinum Toxin Type A - Haemagglutinin Complex	0	27
1153	Iron Sucrose	0	27
1256	Amlodipine, Atorvastatin	0	27
1290	Amikacin Sulfate	0	27
1775	Meropenem Trihydrate	0	27
1779	Ketoprofen Lysine	0	27
1864	Oxycodone Hydrochloride, Naloxone Hydrochloride Dihydrate	0	27
2036	Itraconazole	0	27
2405	Hexetidine	0	27
3053	Bumetanide	0	27
3396	Macrogol 4000	0	27
3492	Pegfilgrastim	0	27
3707	Macitentan	0	27
4370	Deferoxamine Mesilate	0	27
5449	Erlotinib	0	27
5883	Valine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Taurine, Threonine, Tyrosine, Glycine, Olive Oil, Refined, Soya-Bean Oil Refined, Triglycerides, Medium Chain, Tryptophan, Potassium Chloride, Calcium C	0	27
5980	Germanium (68ge) Chloride	0	27
7175	Vigabatrin	0	27
9651	Measles Virus Schwarz Strain (Live, Attenuated), Mumps Virus Rit 4385 Strain (Live, Attenuated) Derived From From The Jeryl Lynn Produced In Chick Embryo Cells, Rubella Virus Wistar Ra 27/3 Strain (Live, Attenuated) Produced In Human Diploid (Mrc-5) Cells	0	27
9685	Gadoteridol	0	27
10873	Thalidomide	0	27
40	Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350	0	26
153	Enalapril Maleate, Hydrochlorothiazide	0	26
163	Acetazolamide	0	26
205	Thioctic Acid	0	26
238	Valproic Acid, Sodium Valproate	0	26
381	Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Pertussis Pertactin, Pertussis Fimbrial Agglutinogens (Fim) 2 And 3	0	26
511	Bisacodyl	0	26
576	Vildagliptin	0	26
678	Inosine Pranobex	0	26
916	Valsartan, Hydrochlorothiazide	0	26
925	Chloramphenicol	0	26
2097	Ipratropium Bromide	0	26
2433	Vinorelbine Tartrate	0	26
3075	Busulfan	0	26
3235	Leuprorelin	0	26
3504	Suxamethonium Chloride	0	26
4384	Tramadol Hydrochloride, Dexketoprofen	0	26
4472	Mianserin Hydrochloride	0	26
4714	Phenylephrine	0	26
4765	Methocarbamol	0	26
5467	Esketamine Hydrochloride	0	26
6948	Ipidacrine Hydrochloride	0	26
7532	Valine, Alanine, Arginine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonine, Aspartic Acid, Glutamic Acid, Glycine, Histidine Hydrochloride Monohydrate, Sodium Dihydrogen Phosphate Dihydrate, Soya-Bean Oil Refined, Triglycerides,	0	26
8642	Valine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonine, Tyrosine, Glycine, Tryptophan, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate, Lysine Hydrochloride, Sodium-L-La	0	26
9401	Pneumococcal Polysaccharide Serotype 4, Pneumococcal Polysaccharide Serotype 6b, Pneumococcal Polysaccharide Serotype 9v, Pneumococcal Polysaccharide Serotype 14, Pneumococcal Polysaccharide Serotype 18c, Pneumococcal Polysaccharide Serotype 19f, Pneumoco	0	26
10671	Yellow Fever Virus Strain 17d-204 (Live, Attenuated)	0	26
334	Modafinil	0	25
443	Desmopressin	0	25
813	Cyproterone Acetate, Ethinylestradiol	0	25
1282	Levofloxacin Hemihydrate	0	25
1581	Butamirate Citrate	0	25
1618	Indapamide	0	25
1728	Aprepitant	0	25
2693	Cladribine	0	25
3151	Calcium, Lactic Acid, Magnesium, Sodium, Chloride Ion, Hydrogen Carbonate	0	25
3218	Pramipexole Dihydrochloride Monohydrate	0	25
3626	Chlorambucil	0	25
4250	Etamsylate	0	25
5325	Algeldrate, Tick-Borne Encephalitis Virus (Inactivated), Strain K23	0	25
6373	Hepatitis A Virus (Inactivated), Algeldrate	0	25
6633	Human Hemin	0	25
6638	Oxomemazine	0	25
9653	Varicella Virus Oka Strain, (Live, Attenuated) Produced In Human Diploid (Mrc-5) Cells, Measles Virus Schwarz Strain (Live, Attenuated), Mumps Virus Rit 4385 Strain (Live, Attenuated) Derived From From The Jeryl Lynn Produced In Chick Embryo Cells, Rubell	0	25
10981	Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haemagglutinin, Poliovirus (Inactivated) Type 3 (Saukett Strain), Poliovirus (Inactivated) Type 2 (Mef-1 Strain), Poliovirus (Inactivated) Type 1 (Mahoney Strain), Algeldrate	0	25
42	Sildenafil Citrate	0	24
78	Bilastine	0	24
119	Febuxostat	0	24
186	Enalapril Maleate	0	24
224	Sodium Hydrogen Carbonate, Calcium Carbonate, Sodium Alginate	0	24
387	Nifedipine	0	24
571	Pentoxifylline	0	24
639	Allergen Extract From Pollen Of Dactylis Glomerata, Anthoxanthum Odoratum, Lolium Perenne, Poa Pratensis And Phleum Pratense	0	24
1144	Valganciclovir Hydrochloride	0	24
1956	Sodium Hyaluronate	0	24
2325	Valine, Arginine Glutamate, Alanine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonine, Aspartic Acid, Glutamic Acid, Glycine, Histidine Hydrochloride Monohydrate, Potassium Dihydrogen Phosphate, Tryptophan, Potassium Hydroxide, S	0	24
2346	Bcg (Bacillus Calmette-Guérin), Live Attenuated, Strain Rivm (Strain 1173-P2 Derived)	0	24
2924	Brinzolamide, Brimonidine Tartrate	0	24
3098	Calcium Carbonate, Cholecalciferol Concentrate (Powder Form)	0	24
3703	Cyclopentolate Hydrochloride	0	24
4313	Trandolapril	0	24
4761	Doxycycline	0	24
10934	Hynic-[d-Phe1,tyr3-Octreotide]*tfa	0	24
11273	Vi Polysaccharide Of Salmonella Typhi (Ty2 Strain)	0	24
162	Lisinopril	0	23
213	Alendronate Sodium Trihydrate	0	23
318	Charcoal, Activated	0	23
464	Ibuprofen Lysine	0	23
488	Oxazepam	0	23
577	Metformin Hydrochloride, Vildagliptin	0	23
973	Valsartan	0	23
1652	Nitrazepam	0	23
1655	Famotidine	0	23
1791	Mannitol	0	23
3148	Calcium Gluconate	0	23
3272	Capecitabine	0	23
