department_id	department_name	admission_year	ken_code	ken_description	insurance_provider_id	insurance_provider_name	hospitalization_count	total_base_cost	total_extra_charge_due_to_los_excess	total_revenue
1	Καρδιολογία	2025	Λ01Μ	Τοκετός με καισαρική τομή με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	2171.00	0.00	2171.00
1	Καρδιολογία	2025	Λ01Χ	Τοκετός με καισαρική τομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	1541.00	0.00	1541.00
1	Καρδιολογία	2025	Λ02Μ	Κολπικός τοκετός με παρέμβαση στο χειρουργείο με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	1743.00	0.00	1743.00
1	Καρδιολογία	2025	Λ02Χ	Κολπικός τοκετός με επέμβαση στο χειρουργείο χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	1175.00	783.34	1958.34
1	Καρδιολογία	2025	Λ03Μ	Έκτοπη κύηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	1249.00	1248.99	2497.99
1	Καρδιολογία	2025	Λ03Χ	Έκτοπη κύηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	886.00	2215.00	3101.00
1	Καρδιολογία	2025	Λ04Μ	Επέμβαση στο χειρουργείο μετά τον τοκετό ή μετά την άμβλωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	1807.00	1084.20	2891.20
1	Καρδιολογία	2025	Λ04Χ	Επέμβαση σο χειρουργείο μετά τον τοκετό ή μετά την άμβλωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	571.00	1998.50	2569.50
1	Καρδιολογία	2025	Λ05Α	Άμβλωση με χειρουργική επέμβαση	4	Ιδιωτική Ασφάλεια Β	1	334.00	3006.00	3340.00
1	Καρδιολογία	2025	Λ20Α	Κολπικός τοκετός	5	Ανασφάλιστος	1	872.00	2325.36	3197.36
1	Καρδιολογία	2025	Λ21Α	Μετά τοκετός άμβλωση χωρίς χειρουργική επέμβαση	1	ΕΟΠΥΥ	1	420.00	2100.00	2520.00
1	Καρδιολογία	2025	Λ23Α	Άμβλωση χωρίς επέμβαση στο χειρουργείο	2	ΕΦΚΑ	1	265.00	0.00	265.00
1	Καρδιολογία	2025	Λ24Α	Αποβολή	3	Ιδιωτική Ασφάλεια Α	1	288.00	0.00	288.00
1	Καρδιολογία	2025	Λ26Α	Προγεννητική και άλλη μαιευτική εισαγωγή	4	Ιδιωτική Ασφάλεια Β	1	257.00	128.50	385.50
1	Καρδιολογία	2025	Μ01Μ	Αμφοτερόπλευρες/Πολλαπλές επεμβάσεις μεγάλων αρθρώσεων κάτω άκρων με αναθεώρηση ή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	14020.00	0.00	14020.00
1	Καρδιολογία	2025	Μ01Χ	Αμφοτερόπλευρες/ Πολλαπλές επεμβάσεις μεγάλων αρθρώσεων κάτω άκρων χωρίς αναθεώρηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	9606.00	0.00	9606.00
1	Καρδιολογία	2025	Μ02Μ	Μεταφορά μικροαγγειούμενου ιστικού μοσχεύματος ή (Δερματικό μόσχευμα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές) εξαιρουμένης άκρας χείρας	2	ΕΦΚΑ	1	9110.00	0.00	9110.00
1	Καρδιολογία	2025	Μ02Χ	Δερματικό μόσχευμα (κρημνός) χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές, εξαιρουμένης άκρας χείρας	3	Ιδιωτική Ασφάλεια Α	1	3430.00	0.00	3430.00
1	Καρδιολογία	2025	Μ03Μ	Αντικατάσταση ισχίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	6307.00	0.00	6307.00
1	Καρδιολογία	2025	Μ03Χ	Αντικατάσταση ισχίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	6411.00	1831.72	8242.72
2	Χειρουργική	2025	Α01Χ	Μείζονες επεμβάσεις θώρακος χωρίς καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	1	ΕΟΠΥΥ	1	2712.00	1162.29	3874.29
2	Χειρουργική	2025	Α02Μα	Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις- επιπλοκές	2	ΕΦΚΑ	1	3922.00	0.00	3922.00
2	Χειρουργική	2025	Α02Μβ	Λοιπές χειρουργικές επεμβάσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	1595.00	2233.00	3828.00
2	Χειρουργική	2025	Α02Χ	Λοιπές επεμβάσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	683.00	0.00	683.00
2	Χειρουργική	2025	Α10Μ	Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	6036.00	0.00	6036.00
2	Χειρουργική	2025	Α10Χ	Νοσήματα αναπνευστικού συστήματος με μηχανική αναπνευστική υποστήριξη χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	4627.00	0.00	4627.00
2	Χειρουργική	2025	Α11Χ	Νοσήματα αναπνευστικού συστήματος χωρίς επεμβατικό μηχανικό αερισμό	2	ΕΦΚΑ	1	3635.00	0.00	3635.00
2	Χειρουργική	2025	Α12Α	Βρογχοσκόπηση, την ίδια ημέρα	3	Ιδιωτική Ασφάλεια Α	1	1910.00	7640.00	9550.00
2	Χειρουργική	2025	Α12Μ	Βρογχοσκόπηση με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	3984.00	0.00	3984.00
2	Χειρουργική	2025	Α12Χ	Βρογχοσκόπηση χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	1798.00	0.00	1798.00
2	Χειρουργική	2025	Α20Μ	Κυστική ίνωση με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	3696.00	0.00	3696.00
2	Χειρουργική	2025	Α20Χ	Κυστική ίνωση χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	2638.00	0.00	2638.00
2	Χειρουργική	2025	Α21Μ	Πνευμονική εμβολή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	2187.00	0.00	2187.00
2	Χειρουργική	2025	Α21Χ	Πνευμονική εμβολή χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	1035.00	862.50	1897.50
2	Χειρουργική	2025	Α22Μα	Αναπνευστικές λοιμώξεις / φλεγμονές με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	1938.00	387.60	2325.60
2	Χειρουργική	2025	Α22Μβ	Αναπνευστικές λοιμώξεις/ φλεγμονές με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	1	ΕΟΠΥΥ	1	1144.00	0.00	1144.00
2	Χειρουργική	2025	Α22Χ	Αναπνευστικές λοιμώξεις/ φλεγμονές χωρίς συνυπάρχουσες παθήσεις – επιπλοκές	2	ΕΦΚΑ	1	630.00	0.00	630.00
2	Χειρουργική	2025	Α23Α	Σύνδρομο άπνοιας ύπνου	3	Ιδιωτική Ασφάλεια Α	1	319.00	638.00	957.00
2	Χειρουργική	2025	Α24Μ	Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	1821.00	0.00	1821.00
2	Χειρουργική	2025	Α24Χ	Πνευμονικό οίδημα και αναπνευστική ανεπάρκεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	949.00	237.25	1186.25
2	Χειρουργική	2025	Μ04Μ	Αντικατάσταση γόνατος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	7042.00	782.44	7824.44
2	Χειρουργική	2025	Μ04Χ	Αντικατάσταση γόνατος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	6611.00	5509.15	12120.15
2	Χειρουργική	2025	Μ05Μ	Αντικατάσταση άλλων αρθρώσεων με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	7705.00	700.45	8405.45
2	Χειρουργική	2025	Μ05Χ	Αντικατάσταση άλλων αρθρώσεων χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	6101.00	0.00	6101.00
2	Χειρουργική	2025	Μ06Α	Σπονδυλοδεσία με παραμόρφωση	5	Ανασφάλιστος	1	19980.00	0.00	19980.00
2	Χειρουργική	2025	Μ07Α	Ακρωτηριασμός	1	ΕΟΠΥΥ	1	5235.00	0.00	5235.00
2	Χειρουργική	2025	Μ08Μ	Λοιπές επεμβάσεις ισχίου και μηριαίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	4449.00	0.00	4449.00
2	Χειρουργική	2025	Μ08Χ	Λοιπές επεμβάσεις ισχίου και μηριαίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	3014.00	0.00	3014.00
2	Χειρουργική	2025	Μ09Μ	Σπονδυλοδεσία με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	14720.00	0.00	14720.00
2	Χειρουργική	2025	Μ09Χ	Σπονδυλοδεσία χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	9783.00	0.00	9783.00
2	Χειρουργική	2025	Μ10Μ	Λοιπές επεμβάσεις αυχένος-οσφύος - θώρακος με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	3391.00	0.00	3391.00
2	Χειρουργική	2025	Μ10Χ	Λοιπές επεμβάσεις αυχένος-οσφύος - θώρακος χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	1908.00	2385.00	4293.00
2	Χειρουργική	2025	Μ11Α	Επεμβάσεις διατατικής επιμηκύνσεως άκρων	3	Ιδιωτική Ασφάλεια Α	1	4045.00	6067.50	10112.50
2	Χειρουργική	2025	Μ12Μα	Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις με σοβαρής και μέτριας βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	5478.00	0.00	5478.00
2	Χειρουργική	2025	Μ12Μβ	Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	2993.00	0.00	2993.00
2	Χειρουργική	2025	Μ12Χ	Λοίμωξη / φλεγμονή οστών και αρθρώσεων με διάφορες μυοσκελετικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	1665.00	0.00	1665.00
2	Χειρουργική	2025	Μ13Μ	Επεμβάσεις βραχιονίου, κνήμης, περόνης και αστραγάλου με συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	3893.00	0.00	3893.00
2	Χειρουργική	2025	Μ13Χ	Επεμβάσεις Βραχιονίου, κνήμης, περόνης και αστραγάλου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	2083.00	0.00	2083.00
2	Χειρουργική	2025	Μ15Α	Κρανιοπροσωπικές επεμβάσεις	4	Ιδιωτική Ασφάλεια Β	1	3761.00	0.00	3761.00
2	Χειρουργική	2025	Μ16Α	Λοιπές επεμβάσεις ώμου	5	Ανασφάλιστος	1	1588.00	2382.00	3970.00
3	Παθολογία	2025	Α25Μ	Χρόνια αποφρακτική πνευμονοπάθεια με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	1766.00	0.00	1766.00
3	Παθολογία	2025	Α25Χ	Χρόνια αποφρακτική πνευμονοπάθεια χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	949.00	379.60	1328.60
3	Παθολογία	2025	Α26Μα	Μείζον τραύμα Θώρακος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	2467.00	0.00	2467.00
3	Παθολογία	2025	Α26Μβ	Μείζον τραύμα Θώρακος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	1175.00	940.00	2115.00
3	Παθολογία	2025	Α26Χ	Μείζον τραύμα Θώρακος με συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	607.00	1416.31	2023.31
3	Παθολογία	2025	Α27Μ	Αναπνευστικά σημεία και συμπτώματα με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	864.00	1512.00	2376.00
3	Παθολογία	2025	Α27Χ	Αναπνευστικά σημεία και συμπτώματα χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	350.00	1750.00	2100.00
3	Παθολογία	2025	Α28Μ	Πνευμοθώρακας με συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	1377.00	0.00	1377.00
3	Παθολογία	2025	Α28Χ	Πνευμοθώρακας χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	623.00	0.00	623.00
3	Παθολογία	2025	Α29Μ	Βρογχίτιδα και άσθμα με συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	872.00	0.00	872.00
3	Παθολογία	2025	Α29Χ	Βρογχίτιδα και άσθμα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	397.00	397.00	794.00
3	Παθολογία	2025	Α30Μ	Υλακώδης βήχας και οξεία βρογχιολίτιδα με συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	1331.00	0.00	1331.00
3	Παθολογία	2025	Α30Χ	Υλακώδης βήχας και οξεία βρογχιολίτιδα χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	607.00	1214.00	1821.00
3	Παθολογία	2025	Α31Μ	Νεοπλάσματα αναπνευστικού με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	1798.00	0.00	1798.00
3	Παθολογία	2025	Α31Χ	Νεοπλάσματα αναπνευστικού χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	910.00	546.00	1456.00
3	Παθολογία	2025	Α32Α	Αναπνευστικά προβλήματα αναδυόμενα από τη νεογνική περίοδο	1	ΕΟΠΥΥ	1	846.00	1057.50	1903.50
3	Παθολογία	2025	Α33Μα	Πλευριτική συλλογή με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	2023.00	0.00	2023.00
3	Παθολογία	2025	Α33Μβ	Πλευριτική συλλογή με σοβαρές ή μεσαίου βαρύτητας συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	1043.00	1251.60	2294.60
3	Παθολογία	2025	Α33Χ	Πλευριτική συλλογή χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	607.00	1820.97	2427.97
3	Παθολογία	2025	Α34Μα	Διάμεση πνευμονική νόσος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	1977.00	0.00	1977.00
3	Παθολογία	2025	Μ17Μ	Γναθοπροσωπικές επεμβάσεις με συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	2708.00	2708.01	5416.01
3	Παθολογία	2025	Μ17Χ	Γναθοπροσωπικές επεμβάσεις χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	1764.00	4410.00	6174.00
3	Παθολογία	2025	Μ18Α	Λοιπές επεμβάσεις γόνατος	3	Ιδιωτική Ασφάλεια Α	1	743.00	5201.00	5944.00
3	Παθολογία	2025	Μ19Μ	Λοιπές επεμβάσεις αγκώνος και αντιβραχίου με συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	2648.00	1323.99	3971.99
3	Παθολογία	2025	Μ19Χ	Λοιπές επεμβάσεις αγκώνος και αντιβραχίου χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	1904.00	7616.00	9520.00
3	Παθολογία	2025	Μ20Α	Λοιπές επεμβάσεις άκρου ποδός	1	ΕΟΠΥΥ	1	1286.00	5787.00	7073.00
3	Παθολογία	2025	Μ21Α	Τοπική Εκτομή και Αφαίρεση υλικών εσωτερικής οστεοσύνθεσης ισχίου και μηριαίου	2	ΕΦΚΑ	1	1052.00	5260.00	6312.00
3	Παθολογία	2025	Μ23Α	Τοπική εκτομή και αφαίρεση υλικών εσωτερικής οστεοσύνθεσης εκτός ισχίου και μηριαίου	3	Ιδιωτική Ασφάλεια Α	1	661.00	0.00	661.00
3	Παθολογία	2025	Μ24Α	Αρθροσκόπηση	4	Ιδιωτική Ασφάλεια Β	1	710.00	710.00	1420.00
3	Παθολογία	2025	Μ25Μ	Διαγνωστικές επεμβάσεις οστών και αρθρώσεων συμπεριλαμβανομένης βιοψίας με συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	2864.00	0.00	2864.00
3	Παθολογία	2025	Μ25Χ	Διαγνωστικές επεμβάσεις οστών και αρθρώσεων συμπεριλαμβανομένης βιοψίας χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	1	ΕΟΠΥΥ	1	1260.00	420.00	1680.00
3	Παθολογία	2025	Μ27Μ	Επεμβάσεις μαλακών μορίων με συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	2179.00	0.00	2179.00
3	Παθολογία	2025	Μ27Χ	Επεμβάσεις μαλακών μορίων χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	902.00	1804.00	2706.00
3	Παθολογία	2025	Μ28Μ	Λοιπές επεμβάσεις μυοσκελετικού με συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	2639.00	0.00	2639.00
3	Παθολογία	2025	Μ28Χ	Λοιπές επεμβάσεις μυοσκελετικού χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	1379.00	4137.00	5516.00
3	Παθολογία	2025	Μ29Α	Ανακατασκευή ή αναθεώρηση πρόθεσης γόνατος	1	ΕΟΠΥΥ	1	1903.00	15224.00	17127.00
3	Παθολογία	2025	Μ30Α	Επεμβάσεις χειρός	2	ΕΦΚΑ	1	891.00	8019.00	8910.00
3	Παθολογία	2025	Μ31Μ	Επανεπεμβαση Ισχίου με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	11675.00	0.00	11675.00
3	Παθολογία	2025	Μ31Χ	Επανεπεμβαση Ισχίου χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	8533.00	775.73	9308.73
3	Παθολογία	2025	Μ32Μα	Επανεπεμβαση γόνατος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	12912.00	0.00	12912.00
4	ΜΕΘ	2025	Α34Μβ	Διάμεση πνευμονική νόσος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	1	ΕΟΠΥΥ	1	1393.00	0.00	1393.00
4	ΜΕΘ	2025	Α34Χ	Διάμεση πνευμονική νόσος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	2	ΕΦΚΑ	1	638.00	0.00	638.00
4	ΜΕΘ	2025	Α35Μα	Λοιπές διαγνώσεις αναπνευστικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	1556.00	0.00	1556.00
4	ΜΕΘ	2025	Α35Μβ	Λοιπές διαγνώσεις αναπνευστικού συστήματος με σοβαρές ή μεσαίας βαρύτητας συνυπάρχουσες παθήσεις – επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	973.00	0.00	973.00
4	ΜΕΘ	2025	Α35Χ	Λοιπές διαγνώσεις αναπνευστικού συστήματος χωρίς συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	475.00	950.00	1425.00
4	ΜΕΘ	2025	Α36Α	Φυματίωση αναπνευστικού	1	ΕΟΠΥΥ	1	2412.00	0.00	2412.00
4	ΜΕΘ	2025	Β01Μ	Μείζονες ανδρικές πυελικές επεμβάσεις με καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	2	ΕΦΚΑ	1	3553.00	0.00	3553.00
4	ΜΕΘ	2025	Β01Χ	Μείζονες ανδρικές πυελικές επεμβάσεις χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες παθήσεις – επιπλοκές	3	Ιδιωτική Ασφάλεια Α	1	2892.00	3615.00	6507.00
4	ΜΕΘ	2025	Β02Μ	Διουρηθρική προστατεκτομή με καταστροφικές ή σοβαρές συνυπάρχουσες επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	1719.00	736.71	2455.71
4	ΜΕΘ	2025	Β02Χ	Διουρηθρική προστατεκτομή χωρίς καταστροφικές ή σοβαρές συνυπάρχουσες επιπλοκές	5	Ανασφάλιστος	1	1007.00	2685.36	3692.36
4	ΜΕΘ	2025	Β03Α	Επεμβάσεις Πέους	1	ΕΟΠΥΥ	1	771.00	3855.00	4626.00
4	ΜΕΘ	2025	Β04Α	Επεμβάσεις όρχεων	2	ΕΦΚΑ	1	652.00	0.00	652.00
4	ΜΕΘ	2025	Β05Α	Περιτομή	3	Ιδιωτική Ασφάλεια Α	1	458.00	458.00	916.00
4	ΜΕΘ	2025	Β06Μ	Λοιπές χειρουργικές επεμβάσεις αντρικού αναπαραγωγικού συστήματος με καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	4	Ιδιωτική Ασφάλεια Β	1	1930.00	0.00	1930.00
4	ΜΕΘ	2025	Β06Χ	Λοιπές χειρουργικές επεμβάσεις αντρικού αναπαραγωγικού συστήματος χωρίς καταστροφικές συνυπάρχουσες παθήσεις - επιπλοκές	5	Ανασφάλιστος	1	1659.00	1659.00	3318.00
4	ΜΕΘ	2025	Β10Α	Κυστεοσκόπηση, την ίδια ημέρα	1	ΕΟΠΥΥ	1	220.00	880.00	1100.00
